City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jacareacanga,-6.2222,-57.7528,22.25,99,100,0.62,BR,1675668360
1,upernavik,72.7868,-56.1549,-26.6,94,100,7.03,GL,1675668157
2,kargat,55.1956,80.2811,-11.63,91,100,2.87,RU,1675668361
3,warrington,53.3925,-2.5802,1.69,87,0,2.06,GB,1675668361
4,hithadhoo,-0.6,73.0833,27.48,71,25,5.71,MV,1675668082
5,cidreira,-30.1811,-50.2056,20.32,91,21,2.54,BR,1675668361
6,puerto ayora,-0.7393,-90.3518,25.86,95,16,2.24,EC,1675668362
7,saskylakh,71.9167,114.0833,-41.22,100,98,1.76,RU,1675668362
8,mayumba,-3.432,10.6554,25.11,88,100,3.85,GA,1675668362
9,houlton,46.1262,-67.8403,-5.77,65,100,0.0,US,1675668363
10,ushuaia,-54.8,-68.3,5.81,70,75,0.51,AR,1675668302
11,bulungu,-4.55,18.6,22.82,86,100,1.24,CD,1675668364
12,iseyin,7.9667,3.6,24.87,81,100,2.16,NG,1675668364
13,yulara,-25.2406,130.9889,34.0,8,0,4.42,AU,1675668365
14,shirokiy,49.758,129.523,-16.47,93,96,1.66,RU,1675668365
15,nikolskoye,59.7035,30.7861,-1.06,97,100,1.76,RU,1675668171
16,hamilton,39.1834,-84.5333,3.94,79,0,4.63,US,1675668185
17,iquitos,-3.7481,-73.2472,22.02,100,0,1.54,PE,1675668366
18,cape town,-33.9258,18.4232,26.73,72,20,5.66,ZA,1675668366
19,vaini,-21.2,-175.2,26.09,89,20,2.06,TO,1675668367
20,albany,42.6001,-73.9662,3.23,66,100,1.09,US,1675668302
21,castro,-24.7911,-50.0119,14.77,87,100,1.58,BR,1675668367
22,kaitangata,-46.2817,169.8464,17.52,63,90,4.17,NZ,1675668367
23,coahuayana,18.7333,-103.6833,20.5,71,7,1.85,MX,1675668228
24,baherden,38.4362,57.4316,13.89,27,19,3.67,TM,1675668368
25,hobart,-42.8794,147.3294,21.92,41,20,8.75,AU,1675668149
26,punta arenas,-53.15,-70.9167,11.06,71,100,7.72,CL,1675668130
27,brae,60.3964,-1.353,8.49,86,100,11.27,GB,1675668337
28,hermanus,-34.4187,19.2345,22.67,82,100,5.63,ZA,1675668368
29,chokurdakh,70.6333,147.9167,-32.25,98,100,1.55,RU,1675668113
30,manicore,-5.8092,-61.3003,22.44,99,100,0.95,BR,1675668369
31,bethel,41.3712,-73.414,3.6,72,100,0.0,US,1675668369
32,leningradskiy,69.3833,178.4167,-30.44,98,100,2.29,RU,1675668370
33,san vicente,-26.6167,-54.1333,16.41,57,100,0.86,AR,1675668370
34,busselton,-33.65,115.3333,27.05,44,0,8.37,AU,1675668372
35,aklavik,68.2191,-135.0107,-41.8,100,61,0.66,CA,1675668373
36,qaanaaq,77.484,-69.3632,-25.6,96,100,1.95,GL,1675668374
37,esperance,-33.8667,121.9,31.8,40,1,8.87,AU,1675668188
38,guapi,2.5708,-77.8854,22.81,96,89,1.77,CO,1675668374
39,chuy,-33.6971,-53.4616,17.15,91,4,2.09,UY,1675668139
40,bluff,-46.6,168.3333,15.84,75,100,10.67,NZ,1675668375
41,tasiilaq,65.6145,-37.6368,-5.91,93,100,3.88,GL,1675668175
42,jamestown,42.097,-79.2353,2.79,92,100,3.09,US,1675668376
43,haines junction,60.7522,-137.5108,-12.03,92,100,1.03,CA,1675668376
44,arrifes,37.7667,-25.7,14.14,82,75,3.09,PT,1675668376
45,rikitea,-23.1203,-134.9692,25.91,77,10,5.29,PF,1675668377
46,portland,45.5234,-122.6762,7.56,89,75,2.24,US,1675668105
47,djibo,14.1022,-1.6306,20.61,15,10,4.35,BF,1675668377
48,berlevag,70.8578,29.0864,2.0,86,20,6.69,NO,1675668129
49,dzerzhinsk,56.2389,43.4631,-7.1,86,100,2.0,RU,1675668378
50,mataura,-46.1927,168.8643,16.63,66,100,2.08,NZ,1675668378
51,cassilandia,-19.1133,-51.7342,21.88,91,100,0.93,BR,1675668378
52,mizan teferi,6.9833,35.5833,20.46,55,97,0.47,ET,1675668379
53,sassandra,4.95,-6.0833,24.47,93,100,2.05,CI,1675668379
54,yellowknife,62.456,-114.3525,-19.69,77,100,4.12,CA,1675668380
55,muros,42.7762,-9.0603,4.91,85,5,2.53,ES,1675668380
56,tuatapere,-46.1333,167.6833,17.91,60,100,2.97,NZ,1675668380
57,sao filipe,14.8961,-24.4956,19.93,65,38,7.39,CV,1675668381
58,burnie,-41.0667,145.9167,22.19,47,5,5.91,AU,1675668381
59,asau,46.4333,26.4,-4.29,90,100,4.0,RO,1675668381
60,vayalar,9.7,76.3333,35.57,61,91,2.66,IN,1675668382
61,evanston,42.0411,-87.6901,-1.62,83,0,0.45,US,1675668323
62,shingu,33.7333,135.9833,10.77,55,100,0.83,JP,1675668382
63,khatanga,71.9667,102.5,-36.75,99,72,2.76,RU,1675668382
64,mizdah,31.4451,12.9801,7.64,74,76,1.8,LY,1675668383
65,kruisfontein,-34.0033,24.7314,22.71,80,80,3.0,ZA,1675668186
66,nagato,34.3833,131.2,9.43,56,100,1.24,JP,1675668383
67,kapaa,22.0752,-159.319,24.18,86,100,7.2,US,1675668383
68,katsuura,35.1333,140.3,11.53,44,100,1.34,JP,1675668384
69,butaritari,3.0707,172.7902,27.13,81,67,8.6,KI,1675668384
70,lavrentiya,65.5833,-171.0,-23.94,93,93,3.04,RU,1675668384
71,talnakh,69.4865,88.3972,-17.54,99,99,0.78,RU,1675668385
72,ambilobe,-13.2,49.05,29.65,68,41,0.9,MG,1675668385
73,deputatskiy,69.3,139.9,-40.79,99,60,2.56,RU,1675668385
74,beringovskiy,63.05,179.3167,-29.49,97,87,4.56,RU,1675668386
75,castro-urdiales,43.3829,-3.2204,9.99,79,93,5.01,ES,1675668386
76,dalbandin,28.8947,64.4101,17.83,21,0,3.43,PK,1675668386
77,koshki,54.2091,50.4677,-9.7,93,100,1.17,RU,1675668387
78,ilheus,-14.7889,-39.0494,22.85,90,63,1.29,BR,1675668335
79,smithers,54.7804,-127.1743,1.18,64,100,4.12,CA,1675668317
80,port blair,11.6667,92.75,28.75,68,14,5.44,IN,1675668387
